225	Fol  109v	FL27545845	4015	5410
226	Fol  110r	FL27545861	4015	5410
227	Fol  110v	FL27545882	4015	5410
228	Fol  111r	FL27545902	4015	5410
229	Fol  111v	FL27545918	4015	5410
230	Fol  112r	FL27545934	4015	5410
231	Fol  112v	FL27545951	4015	5410
232	Fol  113r	FL27545971	4015	5410
233	Fol  113v	FL27545987	4015	5410
234	Fol  114r	FL27546005	4015	5410
235	Fol  114v	FL27546017	4015	5410
236	Fol  115r	FL27546040	4015	5410
237	Fol  115v	FL27546061	4015	5410
238	Fol  116r	FL27546073	4015	5410
239	Fol  116v	FL27546090	4015	5410
240	Fol  117r	FL27546115	4015	5410
241	Fol  117v	FL27546139	4015	5410
242	Fol  118r	FL27546159	4015	5410
243	Fol  118v	FL27546178	4015	5410
244	Fol  119r	FL27546193	4015	5410
245	Fol  119v	FL27546201	4015	5410
246	Fol  120r	FL27546218	4015	5410
247	Fol  120v	FL27546233	4015	5410
248	Fol  121r	FL27546253	4015	5410
249	Fol  121v	FL27546270	4015	5410
250	Fol  122r	FL27546286	4015	5410
251	Fol  122v	FL27546304	4015	5410
252	Fol  123r	FL27546325	4015	5410
253	Fol  123v	FL27546345	4015	5410
254	Fol  124r	FL27546367	4015	5410
255	Fol  124v	FL27546393	4015	5410
256	Fol  125r	FL27546412	4015	5410
257	Fol  125v	FL27546436	4015	5410
258	Fol  126r	FL27546459	4015	5410
259	Fol  126v	FL27546478	4015	5410
260	Fol  127r	FL27546499	4015	5410
261	Fol  127v	FL27546523	4015	5410
262	Fol  128r	FL27546554	4015	5410
263	Fol  128v	FL27546573	4015	5410
264	Fol  129r	FL27546600	4015	5410
265	Fol  129v	FL27546616	4015	5410
266	Fol  130r	FL27546637	4015	5410
267	Fol  130v	FL27546661	4015	5410
268	Fol  131r	FL27546689	4015	5410
269	Fol  131v	FL27546700	4015	5410
270	Fol  132r	FL27546719	4015	5410
271	Fol  132v	FL27546736	4015	5410
272	Fol  133r	FL27546751	4015	5410
273	Fol  133v	FL27546768	4015	5410
274	Fol  134r	FL27546783	4015	5410
275	Fol  134v	FL27546802	4015	5410
276	Fol  135r	FL27546816	4015	5410
277	Fol  135v	FL27546835	4015	5410
278	Fol  136r	FL27546853	4015	5410
279	Fol  136v	FL27546867	4015	5410
280	Fol  137r	FL27546884	4015	5410
281	Fol  137v	FL27546896	4015	5410
282	Fol  138r	FL27546914	4015	5410
283	Fol  138v	FL27546932	4015	5410
284	Fol  139r	FL27546956	4015	5410
285	Fol  139v	FL27546975	4015	5410
286	Fol  140r	FL27546991	4015	5410
287	Fol  140v	FL27547008	4015	5410
288	Fol  141r	FL27547025	4015	5410
289	Fol  141v	FL27547036	4015	5410
290	Fol  142r	FL27547067	4015	5410
291	Fol  142v	FL27547078	4015	5410
292	Fol  143r	FL27547097	4015	5410
293	Fol  143v	FL27547114	4015	5410
294	Fol  144r	FL27547136	4015	5410
295	Fol  144v	FL27547150	4015	5410
296	Fol  145r	FL27547172	4015	5410
297	Fol  145v	FL27547184	4015	5410
298	Fol  146r	FL27547208	4015	5410
299	Fol  146v	FL27547223	4015	5410
300	Fol  147r	FL27547236	4015	5410
301	Fol  147v	FL27547254	4015	5410
302	Fol  148r	FL27547276	4015	5410
303	Fol  148v	FL27547297	4015	5410
304	Fol  149r	FL27547320	4015	5410
305	Fol  149v	FL27547338	4015	5410
306	Fol  150r	FL27547357	4015	5410
307	Fol  150v	FL27547375	4015	5410
308	Fol  151r	FL27547399	4015	5410
309	Fol  151v	FL27547419	4015	5410
310	Fol  152r	FL27547435	4015	5410
311	Fol  152v	FL27547460	4015	5410
312	Fol  153r	FL27547483	4015	5410
313	Fol  153v	FL27547498	4015	5410
314	Fol  154r	FL27547516	4015	5410
315	Fol  154v	FL27547528	4015	5410
316	Fol  155r	FL27547552	4015	5410
317	Fol  155v	FL27547567	4015	5410
318	Fol  156r	FL27547589	4015	5410
319	Fol  156v	FL27547607	4015	5410
320	Fol  157r	FL27547627	4015	5410
321	Fol  157v	FL27547643	4015	5410
322	Fol  158r	FL27547663	4015	5410
323	Fol  158v	FL27547686	4015	5410
324	Fol  159r	FL27547702	4015	5410
325	Fol  159v	FL27547722	4015	5410
326	Fol  160r	FL27547743	4015	5410
327	Fol  160v	FL27547759	4015	5410
328	Fol  161r	FL27547780	4015	5410
329	Fol  161v	FL27547795	4015	5410
330	Fol  162r	FL27547814	4015	5410
331	Fol  162v	FL27547832	4015	5410
332	Fol  163r	FL27547852	4015	5410
333	Fol  163v	FL27547868	4015	5410
334	Fol  164r	FL27547882	4015	5410
335	Fol  164v	FL27547897	4015	5410
336	Fol  165r	FL27547920	4015	5410
337	Fol  165v	FL27547928	4015	5410
338	Fol  166r	FL27547954	4015	5410
339	Fol  166v	FL27547968	4015	5410
340	Fol  167r	FL27547983	4015	5410
341	Fol  167v	FL27548002	4015	5410
342	Fol  168r	FL27548027	4015	5410
343	Fol  168v	FL27548043	4015	5410
344	Fol  169r	FL27548060	4015	5410
345	Fol  169v	FL27548082	4015	5410
346	Fol  170r	FL27548096	4015	5410
347	Fol  170v	FL27548107	4015	5410
